"id";"latitude";"longitude";"name";"light";"number";"address";"activate";"no_available";"total_bases";"dock_bikes";"free_bases";"reservations_count";"district";"neighborhood";"startDate"
169;"40.4309524";"-3.6993465";"Manuel Silvela";1;"124";"Calle Manuel Silvela nº 20";1;0;24;16;6;0;"07  CHAMBERÍ";"07-03 TRAFALGAR";2015-07-01
164;"40.4352850";"-3.6948626";"General Martínez Campos ";2;"125";"Calle Fernández de la Hoz nº 29";1;0;24;11;12;0;"07  CHAMBERÍ";"07-04 ALMAGRO";2015-07-01
163;"40.4344731";"-3.7015686";"General Álvarez de Castro";2;"126";"Calle del General Álvarez de Castro nº 2";1;0;24;7;14;1;"07  CHAMBERÍ";"07-03 TRAFALGAR";2015-07-01
168;"40.4338516";"-3.7084390";"Fernando el Católico";0;"127";"Calle Fernando el Católico nº 19";1;0;24;6;17;0;"07  CHAMBERÍ";"07-02 ARAPILES";2015-07-01
160;"40.4389940";"-3.7154329";"Cea Bermúdez";0;"128";"Calle Cea Bermúdez nº 59";1;0;27;8;18;0;"07  CHAMBERÍ";"07-01 GAZTAMBIDE";2015-07-01
161;"40.4385316";"-3.6982209";"José Abascal";2;"129";"Calle José Abascal nº 33";1;0;24;11;13;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-07-01
157;"40.4413860";"-3.7016321";"Santa Engracia 127";0;"130";"Calle Santa Engracia nº 127";1;0;20;2;15;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2017-06-21
156;"40.4412115";"-3.7039582";"Bravo Murillo 44";0;"131";"Calle Bravo Murillo nº 44";1;0;24;5;19;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-07-01
149;"40.4463667";"-3.7036675";"Glorieta de los Cuatro Caminos";0;"132";"Calle Santa Engracia nº 168";1;0;24;6;15;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-07-01
150;"40.4471250";"-3.7001669";"Raimundo Fernández";0;"133";"Calle Raimundo Fernández Villaverde nº 33-35";1;0;24;4;16;0;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
153;"40.4440297";"-3.6956047";"Agustín de Betancourt";2;"134";"Calle María de Guzmán nº 58";1;0;24;13;11;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-07-01
158;"40.4415974";"-3.6927821";"Plaza de San Juan de la Cruz";1;"135";"Plaza de San Juan de la Cruz nº 11";1;0;24;18;6;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-04-01
151;"40.4453307";"-3.6908610";"Castellana 106";2;"136";"Paseo de la Castellana nº 106";1;0;24;15;9;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
152;"40.4454110";"-3.6853312";"Plaza de la República Argentina";2;"137";"Plaza de la República Argentina nº 6-7";1;0;24;13;11;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
154;"40.4457414";"-3.6917932";"Paseo de la Castellana con Raimundo Fernández";2;"138";"Paseo de la Castellana nº 67";1;0;24;11;12;0;"07  CHAMBERÍ";"07-05 RÍOS ROSAS";2015-07-01
159;"40.4396792";"-3.6907784";"José Gutiérrez Abascal ";2;"139";"Calle José Gutiérrez Abascal nº 2";1;0;24;14;10;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
162;"40.4379444";"-3.6828620";"Velázquez 130";2;"140";"Calle Velázquez nº 130";1;0;24;9;13;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
165;"40.4355143";"-3.6892368";"Pº Castellana - Glorieta de Emilio Castelar";1;"141";"Paseo de la Castellana nº 43";1;0;12;10;2;0;"07  CHAMBERÍ";"07-04 ALMAGRO";2015-07-01
167;"40.4334087";"-3.6879154";"Castellana 42";1;"142";"Paseo de la Castellana nº 42";1;0;24;17;7;0;"04  SALAMANCA";"04-06 CASTELLANA";2015-07-01
166;"40.4345973";"-3.6784920";"Diego de León 52";2;"143";"Calle Diego de León nº 52";1;0;24;13;10;0;"04  SALAMANCA";"04-05 LISTA";2015-07-01
170;"40.4323655";"-3.6758555";"Juan Bravo 50";2;"144";"Calle Juan Bravo nº 50";1;0;24;10;12;0;"04  SALAMANCA";"04-05 LISTA";2015-06-20
171;"40.4298870";"-3.6712823";"Ortega y Gasset 87";2;"145";"Calle Ortega y Gasset nº 87";1;0;24;15;9;0;"04  SALAMANCA";"04-05 LISTA";2015-07-01
155;"40.4442258";"-3.6787169";"María Francisca 1";0;"146";"Calle María Francisca nº 1";1;0;18;2;16;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-06-20
148;"40.4483269";"-3.6797296";"Doctor Arce 45";2;"147";"Avenida del Doctor Arce nº 45";1;0;24;8;15;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
144;"40.4510188";"-3.6817962";"Serrano 210";2;"148";"Calle Serrano nº 210";1;0;24;15;8;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
146;"40.4498613";"-3.6881689";"Paseo de la Habana 42";2;"149";"Paseo de la Habana nº 42";1;0;24;11;12;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
147;"40.4488924";"-3.6905604";"Castellana frente a Hermanos Pinzón";2;"150";"Paseo de la Castellana nº 124";1;0;24;8;16;0;"05  CHAMARTÍN";"05-01 EL VISO";2015-07-01
145;"40.4480662";"-3.6952860";"Orense 12";2;"151";"Calle Orense nº 12";1;0;24;12;12;0;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
142;"40.4527164";"-3.6990077";"General Perón 1";2;"152";"Avenida del General Perón nº 1-4";1;0;24;14;8;1;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
143;"40.4522938";"-3.6926510";"General Perón con Poeta Joan Maragall";2;"153";"Avenida del General Perón nº 36";1;0;24;14;9;0;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
141;"40.4548456";"-3.6946218";"Orense 36";2;"154";"Calle Orense nº 36";1;0;24;12;12;0;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
139;"40.4572824";"-3.7009675";"San Germán";0;"155";"Calle del General Yagüe nº 57";1;0;24;6;18;0;"06  TETUÁN";"06-02 CUATRO CAMINOS";2015-07-01
140;"40.4592351";"-3.6915330";"Sor Ángela de la Cruz";2;"156";"Calle Sor Ángela de la Cruz nº 2";1;0;24;12;8;0;"06  TETUÁN";"06-03 CASTILLEJOS";2015-07-01
137;"40.4591366";"-3.6894151";"Castellana 164";1;"157";"Paseo de la Castellana nº 164";1;0;24;17;6;0;"05  CHAMARTÍN";"05-05 NUEVA ESPAÑA";2015-07-01
138;"40.4585318";"-3.6847150";"Alberto Alcocer";2;"158";"Avenida de Alberto Alcocer nº 22";1;0;24;12;12;0;"05  CHAMARTÍN";"05-04 HISPANOAMÉRICA";2015-07-01
173;"40.4543852";"-3.6835926";"Paseo de la Habana 63";2;"159";"Paseo de la Habana nº 63";1;0;24;12;12;0;"05  CHAMARTÍN";"05-04 HISPANOAMÉRICA";2015-07-01
172;"40.4572466";"-3.6763439";"Colombia";2;"160";"Calle Colombia nº 7";1;0;24;14;9;0;"05  CHAMARTÍN";"05-04 HISPANOAMÉRICA";2015-07-01
132;"40.4220812";"-3.7218482";"Paseo de la Florida";1;"161";"Paseo de la Florida nº 8";1;0;27;18;5;0;"09  MONCLOA-ARAVACA";"09-01 CASA DE CAMPO";2015-07-01
133;"40.4034076";"-3.7108108";"Metro Pirámides";2;"162";"Paseo de los Olmos nº 28";1;0;24;8;16;0;"02  ARGANZUELA";"02-02 ACACIAS";2015-07-01
134;"40.4035988";"-3.7064516";"Paseo de la Esperanza";0;"163";"Paseo de la Esperanza nº 2";1;0;21;2;16;0;"02  ARGANZUELA";"02-02 ACACIAS";2015-07-01
136;"40.3972616";"-3.6945025";"Paseo de las Delicias";0;"164";"Paseo de las Delicias nº 92-94";1;0;24;2;21;0;"02  ARGANZUELA";"02-05 DELICIAS";2015-07-01
135;"40.3919385";"-3.6971829";"Entrada Matadero";1;"165";"Paseo de la Chopera nº 14";1;0;27;25;1;0;"02  ARGANZUELA";"02-03 CHOPERA";2015-07-01
174;"40.4138333";"-3.7135833";"Segovia 26";2;"166";"Calle Segovia, 26";1;0;24;8;15;0;"01  CENTRO";"01-01 PALACIO";2016-06-23
175;"40.413736";"-3.717487";"Segovia 45";2;"167";"Calle Segovia, 45";1;0;24;10;12;0;"02  ARGANZUELA";"02-01 IMPERIAL";2017-05-22
