day,hour,temperature,rain_mm3,rain,windspeed
2018-09-19,05,16.8,0,0,0.7
2018-09-19,06,16.9,0,0,0.7
2018-09-19,07,15.8,0,0,0.7
2018-09-19,08,15.4,0,0,0.7
2018-09-19,09,16.9,0,0,0.7
2018-09-19,10,21.4,0,0,0.7
2018-09-19,11,23.7,0,0,0.7
2018-09-19,12,25.9,0,0,0.7
2018-09-19,13,27.5,0,0,0.7
2018-09-19,14,28.8,0,0,0.7
2018-09-19,15,29.5,0,0,0.7
2018-09-19,16,30.8,0,0,0.7
2018-09-19,17,30.7,0,0,0.7
2018-09-19,18,31.2,0,0,0.7
2018-09-19,19,29.9,0,0,0.7
2018-09-19,20,28.5,0,0,0.7
2018-09-19,21,24.7,0,0,0.7
2018-09-19,22,22.8,0,0,0.7
2018-09-19,23,21.7,0,0,0.7
2018-09-20,00,20.8,0,0,1.1
2018-09-20,01,20,0,0,1.1
2018-09-20,02,19.5,0,0,1.1
2018-09-20,03,18.4,0,0,1.1
2018-09-20,04,17.9,0,0,1.1
2018-09-20,05,16.8,0,0,1.1
2018-09-20,06,17,0,0,1.1
2018-09-20,07,16.7,0,0,1.1
2018-09-20,08,16.3,0,0,1.1
2018-09-20,09,17.6,0,0,1.1
2018-09-20,10,22.6,0,0,1.1
2018-09-20,11,24.9,0,0,1.1
2018-09-20,12,27,0,0,1.1
2018-09-20,13,27.7,0,0,1.1
2018-09-20,14,29.9,0,0,1.1
2018-09-20,15,30.4,0,0,1.1
2018-09-20,16,32,0,0,1.1
2018-09-20,17,32.2,0,0,1.1
2018-09-20,18,32.7,0,0,1.1
2018-09-20,19,30.4,0,0,1.1
2018-09-20,20,27.7,0,0,1.1
2018-09-20,21,25.1,0,0,1.1
2018-09-20,22,23.2,0,0,1.1
2018-09-20,23,22.4,0,0,1.1
2018-09-21,00,21.3,0,0,1.25
2018-09-21,01,20,0,0,1.25
2018-09-21,02,18.8,0,0,1.25
2018-09-21,03,18.8,0,0,1.25
2018-09-21,04,18.2,0,0,1.25
2018-09-21,05,17.8,0,0,1.25
2018-09-21,06,16.6,0,0,1.25
2018-09-21,07,16.6,0,0,1.25
2018-09-21,08,16.8,0,0,1.25
2018-09-21,09,17.7,0,0,1.25
2018-09-21,10,23.1,0,0,1.25
2018-09-21,11,25.2,0,0,1.25
2018-09-21,12,27.7,0,0,1.25
2018-09-21,13,28.8,0,0,1.25
2018-09-21,14,29.9,0,0,1.25
2018-09-21,15,31.1,0,0,1.25
2018-09-21,16,32.3,0,0,1.25
2018-09-21,17,32.6,0,0,1.25
2018-09-21,18,32.9,0,0,1.25
2018-09-21,19,30.7,0,0,1.25
2018-09-21,20,29.1,0,0,1.25
2018-09-21,21,25.4,0,0,1.25
2018-09-21,22,24.6,0,0,1.25
2018-09-21,23,25.6,0,0,1.25
2018-09-22,00,24.1,0,0,1.25
2018-09-22,01,21.6,0,0,1.25
2018-09-22,02,19.8,0,0,1.25
2018-09-22,03,18.5,0,0,1.25
2018-09-22,04,17.4,0,0,1.25
2018-09-22,05,17,0,0,1.25
2018-09-22,06,17,0,0,1.25
2018-09-22,07,17.2,0,0,1.25
2018-09-22,08,16.5,0,0,1.25
2018-09-22,09,18.4,0,0,1.25
2018-09-22,10,22.8,0,0,1.25
2018-09-22,11,25.6,0,0,1.25
2018-09-22,12,28.1,0,0,1.25
2018-09-22,13,29.9,0,0,1.25
2018-09-22,14,31.5,0,0,1.25
2018-09-22,15,32.6,0,0,1.25
2018-09-22,16,33.4,0,0,1.25
2018-09-22,17,33.4,0,0,1.25
2018-09-22,18,33.4,0,0,1.25
2018-09-22,19,31.7,0,0,1.25
2018-09-22,20,29.7,0,0,1.25
2018-09-22,21,25.4,0,0,1.25
2018-09-22,22,24,0,0,1.25
2018-09-22,23,22.5,0,0,1.25
2018-09-23,00,21.2,0,0,1.25
2018-09-23,01,24.5,0,0,1.25
2018-09-23,02,25.2,0,0,1.25
2018-09-23,03,19.7,0,0,1.25
2018-09-23,04,18.4,0,0,1.25
2018-09-23,05,17.5,0,0,1.25
2018-09-23,06,16.8,0,0,1.25
2018-09-23,07,16.6,0,0,1.25
2018-09-23,08,16.5,0,0,1.25
2018-09-23,09,17.9,0,0,1.25
2018-09-23,10,22.1,0,0,1.25
2018-09-23,11,26.4,0,0,1.25
2018-09-23,12,28.4,0,0,1.25
2018-09-23,13,30.5,0,0,1.25
2018-09-23,14,32.1,0,0,1.25
2018-09-23,15,33.1,0,0,1.25
2018-09-23,16,33.4,0,0,1.25
2018-09-23,17,34.7,0,0,1.25
2018-09-23,18,35,0,0,1.25
2018-09-23,19,33.6,0,0,1.25
2018-09-23,20,30.5,0,0,1.25
2018-09-23,21,26.1,0,0,1.25
2018-09-23,22,25.9,0,0,1.25
2018-09-23,23,24.7,0,0,1.25
2018-09-24,00,25.2,0,0,1.8
2018-09-24,01,25.4,0,0,1.8
2018-09-24,02,24.2,0,0,1.8
2018-09-24,03,23.1,0,0,1.8
2018-09-24,04,21.3,0,0,1.8
2018-09-24,05,21,0,0,1.8
2018-09-24,06,20.6,0,0,1.8
2018-09-24,07,20.2,0,0,1.8
2018-09-24,08,19.7,0,0,1.8
2018-09-24,09,20.4,0,0,1.8
2018-09-24,10,23.2,0,0,1.8
2018-09-24,11,24.7,0,0,1.8
2018-09-24,12,26.8,0,0,1.8
2018-09-24,13,28.5,0,0,1.8
2018-09-24,14,30.2,0,0,1.8
2018-09-24,15,31.7,0,0,1.8
2018-09-24,16,32.3,0,0,1.8
2018-09-24,17,32.3,0,0,1.8
2018-09-24,18,33,0,0,1.8
2018-09-24,19,32.1,0,0,1.8
